row,reaction_id,mapping_success,mapping_confidence,clipzyme_graph_prerequisite,clipzyme_supported,support_status
113,MARTS_EXT_RXN_71aa03bcb508,True,0.0727648944600633,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
114,MARTS_EXT_RXN_71bb2acc38af,True,0.3775422952266378,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
115,MARTS_EXT_RXN_7345bb901e40,True,0.7264838461698109,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
116,MARTS_EXT_RXN_747e48195053,True,0.620122032713491,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
117,MARTS_EXT_RXN_76499a11d465,True,0.2587431553953763,True,True,encoded
118,MARTS_EXT_RXN_76627c4c8e95,True,0.0960410053206788,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
119,MARTS_EXT_RXN_769df5ece0f3,True,0.0360719786516118,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
120,MARTS_EXT_RXN_771248cd18de,True,0.2904821376503322,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
121,MARTS_EXT_RXN_781f3e745c61,True,0.3008041550416156,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
122,MARTS_EXT_RXN_78399ec4fc85,True,0.6658854390565849,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
123,MARTS_EXT_RXN_7844025b0372,True,0.4251467923140806,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
124,MARTS_EXT_RXN_78f709de4b7c,True,0.1463101084758052,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
125,MARTS_EXT_RXN_79368a2476ac,True,0.5178752096443023,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
126,MARTS_EXT_RXN_7b0cfb7bb82c,True,0.4723759166551017,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
127,MARTS_EXT_RXN_7c05abd7a600,True,0.3170233554303925,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
128,MARTS_EXT_RXN_7c41968d1cff,True,0.5914916084160401,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
129,MARTS_EXT_RXN_832dbc506db6,True,0.2478998534759632,False,False,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
130,MARTS_EXT_RXN_848e51b53c9f,True,0.3592887815677247,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
131,MARTS_EXT_RXN_8551b0818261,True,0.0480978952334405,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
132,MARTS_EXT_RXN_86983edabe8c,True,0.2347957383328563,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
133,MARTS_EXT_RXN_86a30d47d9f4,True,0.4453991642900678,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
134,MARTS_EXT_RXN_86ad65662f49,True,0.5369984656227728,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
135,MARTS_EXT_RXN_86ce128d7d61,True,0.2287627205261643,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
