split_id,query_id,budget,candidate_universe,candidate_count,n_positives,hit,positive_recall,best_positive_rank,reciprocal_rank,top1_is_uniprot,uniprot_above_best_positive
p0_r1,MARTS_RXN_a3395ba9b8c61185,10,canonical,1421,1,0,0.0,27,0.037037037037037035,False,0
p0_r1,MARTS_RXN_a3395ba9b8c61185,10,expanded,7093,1,0,0.0,27,0.037037037037037035,False,0
p0_r1,MARTS_RXN_a78f2392f8c21c04,10,canonical,1421,1,0,0.0,370,0.002702702702702703,False,0
p0_r1,MARTS_RXN_a78f2392f8c21c04,10,expanded,7093,1,0,0.0,2201,0.00045433893684688776,True,1831
p0_r1,MARTS_RXN_b89583d7f0d90b88,10,canonical,1421,1,0,0.0,32,0.03125,False,0
p0_r1,MARTS_RXN_b89583d7f0d90b88,10,expanded,7093,1,0,0.0,32,0.03125,False,0
p0_r1,MARTS_RXN_c9b279de04421c5d,10,canonical,1421,1,0,0.0,139,0.007194244604316547,False,0
p0_r1,MARTS_RXN_c9b279de04421c5d,10,expanded,7093,1,0,0.0,1132,0.0008833922261484099,True,993
p0_r1,MARTS_RXN_faf8834b256f41eb,10,canonical,1421,1,0,0.0,207,0.004830917874396135,False,0
p0_r1,MARTS_RXN_faf8834b256f41eb,10,expanded,7093,1,0,0.0,620,0.0016129032258064516,False,413
p0_r1,MARTS_RXN_9bfd169ae97ddf61,20,canonical,1421,1,0,0.0,139,0.007194244604316547,False,0
p0_r1,MARTS_RXN_9bfd169ae97ddf61,20,expanded,7093,1,0,0.0,437,0.002288329519450801,False,298
p0_r1,MARTS_RXN_a3395ba9b8c61185,20,canonical,1421,1,0,0.0,27,0.037037037037037035,False,0
p0_r1,MARTS_RXN_a3395ba9b8c61185,20,expanded,7093,1,0,0.0,27,0.037037037037037035,False,0
p0_r1,MARTS_RXN_a78f2392f8c21c04,20,canonical,1421,1,0,0.0,506,0.001976284584980237,False,0
p0_r1,MARTS_RXN_a78f2392f8c21c04,20,expanded,7093,1,0,0.0,2708,0.00036927621861152144,True,2202
p0_r1,MARTS_RXN_b89583d7f0d90b88,20,canonical,1421,1,0,0.0,32,0.03125,False,0
p0_r1,MARTS_RXN_b89583d7f0d90b88,20,expanded,7093,1,0,0.0,32,0.03125,False,0
p0_r1,MARTS_RXN_c9b279de04421c5d,20,canonical,1421,1,0,0.0,132,0.007575757575757576,False,0
p0_r1,MARTS_RXN_c9b279de04421c5d,20,expanded,7093,1,0,0.0,1083,0.0009233610341643582,False,951
p0_r1,MARTS_RXN_faf8834b256f41eb,20,canonical,1421,1,0,0.0,286,0.0034965034965034965,False,0
p0_r1,MARTS_RXN_faf8834b256f41eb,20,expanded,7093,1,0,0.0,1026,0.0009746588693957114,True,740
p0_r2,MARTS_RXN_029b92fe95def7ba,3,canonical,1421,1,0,0.0,1074,0.000931098696461825,False,0
p0_r2,MARTS_RXN_029b92fe95def7ba,3,expanded,7093,1,0,0.0,5842,0.00017117425539198904,False,4768
p0_r2,MARTS_RXN_1d852b407f95b2b1,3,canonical,1421,1,0,0.0,70,0.014285714285714285,False,0
p0_r2,MARTS_RXN_1d852b407f95b2b1,3,expanded,7093,1,0,0.0,245,0.004081632653061225,False,175
p0_r2,MARTS_RXN_2e27139e482a6dfd,3,canonical,1421,1,0,0.0,70,0.014285714285714285,False,0
p0_r2,MARTS_RXN_2e27139e482a6dfd,3,expanded,7093,1,0,0.0,305,0.003278688524590164,False,235
p0_r2,MARTS_RXN_8d2492a66172fc60,3,canonical,1421,1,0,0.0,261,0.0038314176245210726,False,0
