reaction_id,success,fingerprint_mode,error,auxiliary_mode
RHEA:54376,True,official_standardized,,exact_horizyn
RHEA:54380,True,official_standardized,,exact_horizyn
RHEA:54496,True,official_standardized,,exact_horizyn
RHEA:54500,True,official_standardized,,exact_horizyn
RHEA:54504,True,official_standardized,,exact_horizyn
RHEA:54508,True,official_standardized,,exact_horizyn
RHEA:54512,True,official_standardized,,exact_horizyn
RHEA:54516,True,official_standardized,,exact_horizyn
RHEA:54520,True,official_standardized,,exact_horizyn
RHEA:54636,True,official_standardized,,exact_horizyn
RHEA:54640,True,official_standardized,,exact_horizyn
RHEA:54648,True,official_standardized,,exact_horizyn
RHEA:54652,True,official_standardized,,exact_horizyn
RHEA:54664,True,official_standardized,,exact_horizyn
RHEA:54668,True,official_standardized,,exact_horizyn
RHEA:54676,True,official_standardized,,exact_horizyn
RHEA:54684,True,official_standardized,,exact_horizyn
RHEA:54692,True,official_standardized,,exact_horizyn
RHEA:55216,True,official_standardized,,exact_horizyn
RHEA:55424,False,failed,primary=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2'; fallback=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2',distilled_fallback
RHEA:55520,True,official_standardized,,exact_horizyn
RHEA:56556,True,official_standardized,,exact_horizyn
RHEA:56632,True,official_standardized,,exact_horizyn
RHEA:56820,True,official_standardized,,exact_horizyn
RHEA:56824,True,official_standardized,,exact_horizyn
RHEA:56944,True,official_standardized,,exact_horizyn
RHEA:56984,True,official_standardized,,exact_horizyn
RHEA:57516,False,failed,primary=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2'; fallback=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2',distilled_fallback
RHEA:57520,False,failed,primary=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2'; fallback=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2',distilled_fallback
RHEA:57544,False,failed,primary=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2'; fallback=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2',distilled_fallback
RHEA:58160,True,official_standardized,,exact_horizyn
RHEA:58164,True,official_standardized,,exact_horizyn
RHEA:58168,True,official_standardized,,exact_horizyn
RHEA:58172,True,official_standardized,,exact_horizyn
RHEA:59224,True,official_standardized,,exact_horizyn
RHEA:59232,True,official_standardized,,exact_horizyn
RHEA:59236,True,official_standardized,,exact_horizyn
RHEA:59904,True,official_standardized,,exact_horizyn
RHEA:60016,True,official_standardized,,exact_horizyn
RHEA:60020,True,official_standardized,,exact_horizyn
RHEA:60024,False,failed,primary=Sanitization failed for SMILES input 'Cc1nccc2c1nc1ccccc21'; fallback=Sanitization failed for SMILES input 'Cc1nccc2c1nc1ccccc21',distilled_fallback
RHEA:60028,True,official_standardized,,exact_horizyn
RHEA:60424,True,official_standardized,,exact_horizyn
RHEA:60680,True,official_standardized,,exact_horizyn
RHEA:60684,True,official_standardized,,exact_horizyn
RHEA:60688,True,official_standardized,,exact_horizyn
RHEA:60692,True,official_standardized,,exact_horizyn
RHEA:60696,True,official_standardized,,exact_horizyn
RHEA:60744,True,official_standardized,,exact_horizyn
RHEA:60748,True,official_standardized,,exact_horizyn
RHEA:60752,True,official_standardized,,exact_horizyn
RHEA:60756,True,official_standardized,,exact_horizyn
RHEA:60760,True,official_standardized,,exact_horizyn
RHEA:60764,True,official_standardized,,exact_horizyn
RHEA:61096,False,failed,primary=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2'; fallback=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2',distilled_fallback
RHEA:61112,False,failed,primary=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2'; fallback=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2',distilled_fallback
RHEA:61124,False,failed,primary=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2'; fallback=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2',distilled_fallback
RHEA:62180,True,official_standardized,,exact_horizyn
RHEA:62184,True,official_standardized,,exact_horizyn
RHEA:62188,True,official_standardized,,exact_horizyn
RHEA:62592,True,official_standardized,,exact_horizyn
RHEA:62596,True,official_standardized,,exact_horizyn
RHEA:62972,True,official_standardized,,exact_horizyn
RHEA:63012,True,official_standardized,,exact_horizyn
RHEA:63068,True,official_standardized,,exact_horizyn
RHEA:63080,True,official_standardized,,exact_horizyn
RHEA:63084,False,failed,primary=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc34)[C@H](O)[C@@H]1O)c1nc(=O)nc(=O)c1N2'; fallback=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc34)[C@H](O)[C@@H]1O)c1nc(=O)nc(=O)c1N2',distilled_fallback
RHEA:63092,True,official_standardized,,exact_horizyn
RHEA:63096,True,official_standardized,,exact_horizyn
RHEA:63100,True,stereo_stripped_drfp_fallback,Failed to generate fingerprint for reaction 'RHEA:63100': Failed to generate DRFP for reaction SMILES: CC(/C=C/[C@@]1(C)[C@H](C)CCC(=O)[C@@H]1C)=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O.CC(=CCc1c(O)c(Cl)c(C)c(C=O)c1O)CC[C@@]1(C)[C@H](C)CCC(=O)[C@@H]1C.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O>>NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,exact_horizyn
RHEA:63104,True,official_standardized,,exact_horizyn
RHEA:63108,True,official_standardized,,exact_horizyn
RHEA:63112,True,official_standardized,,exact_horizyn
RHEA:64332,True,official_standardized,,exact_horizyn
RHEA:64336,True,official_standardized,,exact_horizyn
RHEA:64340,True,official_standardized,,exact_horizyn
RHEA:64344,True,official_standardized,,exact_horizyn
RHEA:64348,False,failed,primary=empty reaction SMILES/SMARTS string; fallback=empty reaction SMILES/SMARTS string,distilled_fallback
RHEA:64572,True,official_standardized,,exact_horizyn
RHEA:64580,True,official_standardized,,exact_horizyn
RHEA:64856,True,official_standardized,,exact_horizyn
RHEA:65072,True,official_standardized,,exact_horizyn
RHEA:65112,True,official_standardized,,exact_horizyn
RHEA:65116,True,official_standardized,,exact_horizyn
RHEA:65132,True,official_standardized,,exact_horizyn
RHEA:65140,True,official_standardized,,exact_horizyn
RHEA:65144,True,official_standardized,,exact_horizyn
RHEA:65156,True,official_standardized,,exact_horizyn
RHEA:65168,True,official_standardized,,exact_horizyn
RHEA:65176,True,official_standardized,,exact_horizyn
RHEA:65180,True,official_standardized,,exact_horizyn
RHEA:65184,True,official_standardized,,exact_horizyn
RHEA:65188,True,official_standardized,,exact_horizyn
RHEA:65192,True,official_standardized,,exact_horizyn
RHEA:65248,True,official_standardized,,exact_horizyn
RHEA:65252,True,official_standardized,,exact_horizyn
RHEA:65256,True,official_standardized,,exact_horizyn
RHEA:65260,True,official_standardized,,exact_horizyn
RHEA:65264,True,official_standardized,,exact_horizyn
RHEA:65268,True,official_standardized,,exact_horizyn
RHEA:65272,True,official_standardized,,exact_horizyn
RHEA:65300,True,official_standardized,,exact_horizyn
RHEA:65304,True,official_standardized,,exact_horizyn
RHEA:65316,True,official_standardized,,exact_horizyn
RHEA:65320,True,official_standardized,,exact_horizyn
RHEA:65324,True,official_standardized,,exact_horizyn
RHEA:65328,True,official_standardized,,exact_horizyn
RHEA:65332,True,official_standardized,,exact_horizyn
RHEA:65336,True,official_standardized,,exact_horizyn
RHEA:65828,True,official_standardized,,exact_horizyn
RHEA:66636,True,official_standardized,,exact_horizyn
RHEA:66640,True,official_standardized,,exact_horizyn
RHEA:66644,True,official_standardized,,exact_horizyn
RHEA:66648,True,official_standardized,,exact_horizyn
RHEA:66652,True,official_standardized,,exact_horizyn
RHEA:66712,False,failed,primary=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2'; fallback=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2',distilled_fallback
RHEA:66832,True,official_standardized,,exact_horizyn
RHEA:66836,False,failed,primary=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2'; fallback=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2',distilled_fallback
RHEA:66840,False,failed,primary=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2'; fallback=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2',distilled_fallback
RHEA:66844,False,failed,primary=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2'; fallback=Sanitization failed for SMILES input 'Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(=O)nc(=O)c1N2',distilled_fallback
RHEA:66860,True,official_standardized,,exact_horizyn
RHEA:66864,True,official_standardized,,exact_horizyn
