campaign_scope,plate_id,reaction_id,candidate_id,selection_role,original_well,randomized_well,relative_candidate_slot
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,B0Y565,exploitation,B3,C3,CC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,Q8RWT0,exploitation,D3,B4,BC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,Q9FZI2,exploitation,A3,B3,BC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,Q9SYN1,exploitation,C3,D4,DC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,A0A411JJ93,uncertainty,G3,F3,FC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,E2IUA8,uncertainty,H3,A3,AC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,O23390,uncertainty,A4,E3,EC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,Q6BDZ9,diversity,D6,B6,BC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,Q8W1D0,diversity,B6,C5,CC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,W8QEG7,diversity,C6,A5,AC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,A0A1D6F9Y9,exploitation,B5,H5,HC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,A0A1D6KUI6,exploitation,F5,E5,EC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,A0A345ZQ29,exploitation,A5,F5,FC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,J7FK10,exploitation,D5,C6,CC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,P9WEX5,exploitation,E5,G5,GC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,Q9AJE3,exploitation,C5,D6,DC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,A0A1D6HSP4,uncertainty,H5,B5,BC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,A0A345ZQ26,uncertainty,A6,A6,AC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,Q29VN2,uncertainty,G5,D5,DC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_3d09cb5fb800,A0A140AZ66,diversity,D8,F7,FC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_3d09cb5fb800,G0Y288,diversity,B8,D8,DC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_3d09cb5fb800,Q7XYS8,diversity,C8,E7,EC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_3d09cb5fb800,A0A343W969,exploitation,A7,C7,CC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_3d09cb5fb800,A0A386KZ50,exploitation,B7,B8,BC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_3d09cb5fb800,C0PPM5,exploitation,E7,D7,DC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_3d09cb5fb800,P08836,exploitation,D7,A7,AC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_3d09cb5fb800,P0C565,exploitation,C7,A8,AC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_3d09cb5fb800,XP_055691875.1,exploitation,F7,B7,BC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_3d09cb5fb800,A0A140AZ72,uncertainty,G7,C8,CC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_3d09cb5fb800,A0A386JV86,uncertainty,A8,G7,GC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_3d09cb5fb800,Q58GE8,uncertainty,H7,H7,HC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_22bda90ee992,E3W202,diversity,C6,B5,BC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_22bda90ee992,E3W204,diversity,D6,C6,CC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_22bda90ee992,G5CV35,diversity,B6,D6,DC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_22bda90ee992,A0A0N0RTK4,exploitation,E5,D5,DC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_22bda90ee992,A0A3M8F3X6,exploitation,D5,G5,GC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_22bda90ee992,B8XA41,exploitation,A5,F5,FC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_22bda90ee992,I2CM56,exploitation,F5,E5,EC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_22bda90ee992,M4VQY9,exploitation,B5,H5,HC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_22bda90ee992,Q9LS68,exploitation,C5,A5,AC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_22bda90ee992,C1K5M3,uncertainty,H5,B6,BC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_22bda90ee992,I2CM59,uncertainty,G5,A6,AC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_22bda90ee992,I2CM69,uncertainty,A6,C5,CC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_96ac57c79326,F2XF96,diversity,D4,A3,AC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_96ac57c79326,F2XFA8,diversity,C4,E3,EC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_96ac57c79326,Q6XDB5,diversity,B4,H3,HC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_96ac57c79326,F2XF95,exploitation,E3,A4,AC2
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_96ac57c79326,R9QMR2,exploitation,B3,C4,CC2
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_96ac57c79326,R9QMW1,exploitation,F3,D4,DC2
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_96ac57c79326,R9QMW7,exploitation,D3,B4,BC2
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_96ac57c79326,R9QMY7,exploitation,A3,B3,BC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_96ac57c79326,R9QMY8,exploitation,C3,C3,CC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_96ac57c79326,O24475,uncertainty,H3,D3,DC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_96ac57c79326,R9QMQ9,uncertainty,A4,G3,GC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_96ac57c79326,R9QMW3,uncertainty,G3,F3,FC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_d4f733465fb3,D8S255,diversity,D8,A8,AC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_d4f733465fb3,Q54YE1,diversity,C8,D7,DC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_d4f733465fb3,marts_E00001,diversity,B8,B8,BC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_d4f733465fb3,A0A097ZIE0,exploitation,C7,F7,FC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_d4f733465fb3,A0A0C3FBR2,exploitation,B7,E7,EC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_d4f733465fb3,F0ZK52,exploitation,E7,D8,DC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_d4f733465fb3,F1A1D6,exploitation,D7,G7,GC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_d4f733465fb3,Q54TW4,exploitation,F7,C7,CC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_d4f733465fb3,Q86II4,exploitation,A7,H7,HC1
