enzyme_id,uniprot_id,status,attempted_versions,downloaded_version,download_url,local_path,error
A0A0F7TSZ1,A0A0F7TSZ1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TSZ1.cif,
A0A0F7TSZ5,A0A0F7TSZ5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TSZ5.cif,
A0A0F7TWX5,A0A0F7TWX5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TWX5.cif,
A0A0F7TXA0,A0A0F7TXA0,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TXA0.cif,
A0A0F7TXA1,A0A0F7TXA1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TXA1.cif,
A0A0F7TXA5,A0A0F7TXA5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TXA5.cif,
A0A0F7TXA8,A0A0F7TXA8,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TXA8.cif,
A0A0F7TZD6,A0A0F7TZD6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TZD6.cif,
A0A0F7TZE0,A0A0F7TZE0,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TZE0.cif,
A0A0F7U103,A0A0F7U103,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7U103.cif,
A0A0F7U1Z1,A0A0F7U1Z1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7U1Z1.cif,
A0A0F7U1Z8,A0A0F7U1Z8,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7U1Z8.cif,
A0A0H5BB10,A0A0H5BB10,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0H5BB10.cif,
A0A0H5BB17,A0A0H5BB17,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0H5BB17.cif,
A0A0H5BN57,A0A0H5BN57,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0H5BN57.cif,
A0A0H5BN61,A0A0H5BN61,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0H5BN61.cif,
A0A0M3Q1Q3,A0A0M3Q1Q3,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0M3Q1Q3.cif,
A0A0M4KRN2,A0A0M4KRN2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0M4KRN2.cif,
A0A0M4M0T9,A0A0M4M0T9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0M4M0T9.cif,
A0A0M5L832,A0A0M5L832,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0M5L832.cif,
A0A0M8MV11,A0A0M8MV11,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0M8MV11.cif,
A0A0M8MW83,A0A0M8MW83,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0M8MW83.cif,
A0A0M8MZA1,A0A0M8MZA1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0M8MZA1.cif,
A0A0M9VUG7,A0A0M9VUG7,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0M9VUG7.cif,
A0A0M9VUP1,A0A0M9VUP1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0M9VUP1.cif,
A0A0N0DCA4,A0A0N0DCA4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0N0DCA4.cif,
A0A0N0RTK4,A0A0N0RTK4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0N0RTK4.cif,
A0A0P0ZD79,A0A0P0ZD79,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0P0ZD79.cif,
A0A0P0ZEA9,A0A0P0ZEA9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0P0ZEA9.cif,
A0A0P0ZEM1,A0A0P0ZEM1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0P0ZEM1.cif,
A0A0S2IHL6,A0A0S2IHL6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0S2IHL6.cif,
A0A0U2D9C5,A0A0U2D9C5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U2D9C5.cif,
A0A0U2U4F3,A0A0U2U4F3,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U2U4F3.cif,
A0A0U3LQ20,A0A0U3LQ20,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U3LQ20.cif,
A0A0U4CDK4,A0A0U4CDK4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U4CDK4.cif,
A0A0U4ZPJ7,A0A0U4ZPJ7,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U4ZPJ7.cif,
A0A0U4ZPL6,A0A0U4ZPL6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U4ZPL6.cif,
A0A0U4ZX08,A0A0U4ZX08,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U4ZX08.cif,
A0A0U5CJM3,A0A0U5CJM3,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5CJM3.cif,
A0A0U5CJT8,A0A0U5CJT8,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5CJT8.cif,
A0A0U5CJU2,A0A0U5CJU2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5CJU2.cif,
A0A0U5CJU6,A0A0U5CJU6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5CJU6.cif,
A0A0U5CJV1,A0A0U5CJV1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5CJV1.cif,
A0A0U5CNN8,A0A0U5CNN8,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5CNN8.cif,
A0A0U5CNP2,A0A0U5CNP2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5CNP2.cif,
A0A0U5G0B1,A0A0U5G0B1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5G0B1.cif,
A0A0U5GFQ6,A0A0U5GFQ6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GFQ6.cif,
