split_id,direction,budget,query_id,n_positives,hit,positive_recall,best_positive_rank,reciprocal_rank,query_nearest_train_similarity,ensemble_top1_vote_fraction,ensemble_top1_rank_std,ensemble_top1_score_std,ensemble_top1_margin_z,ensemble_topk_jaccard,ensemble_topk_vote_mean,ensemble_boundary_margin_z
p0_r1,enzyme_to_reaction,3,MARTS_SEQ_11221daf321ba366,1,0,0.0,24,0.0416666666666666,0.9960762858390808,1.0,0.0,0.0,0.0092053291396548,0.6666666666666666,0.8888888888888888,0.0598355074372844
p0_r1,enzyme_to_reaction,10,MARTS_SEQ_11221daf321ba366,1,0,0.0,16,0.0625,0.9960762858390808,0.6666666666666666,0.471404492855072,0.0001232593349413,0.0902655026258862,0.5079365079365079,0.7666666666666667,0.0637440592569249
p0_r1,enzyme_to_reaction,3,MARTS_SEQ_71141913d0ceae62,1,0,0.0,173,0.0057803468208092,0.9891337752342224,0.6666666666666666,0.471404492855072,0.0007821893086656,0.0091763438604564,1.0,1.0,0.0229414777199411
p0_r1,enzyme_to_reaction,10,MARTS_SEQ_71141913d0ceae62,1,0,0.0,121,0.0082644628099173,0.9891337752342224,0.6666666666666666,0.9428090453147888,0.0001594652276253,0.0918548445396057,0.7171717171717171,0.9,0.0126723112801586
p0_r1,enzyme_to_reaction,3,MARTS_SEQ_dc4bda48ffcc486f,2,1,1.0,2,0.5,0.9863182306289672,1.0,0.0,5.960464477539064e-08,0.0161545708118769,0.5,0.7777777777777778,0.0069233164336016
p0_r1,enzyme_to_reaction,10,MARTS_SEQ_dc4bda48ffcc486f,2,1,1.0,2,0.5,0.9863182306289672,1.0,0.0,0.0,0.0914819892873266,0.7171717171717171,0.9,0.057862741670869
p0_r1,enzyme_to_reaction,3,MARTS_SEQ_e841c9d02b819bbb,1,0,0.0,103,0.0097087378640776,0.9682685136795044,0.3333333333333333,0.471404492855072,0.0007821893086656,0.0,1.0,1.0,0.0175874917229212
p0_r1,enzyme_to_reaction,10,MARTS_SEQ_e841c9d02b819bbb,1,0,0.0,24,0.0416666666666666,0.9682685136795044,0.6666666666666666,0.471404492855072,0.0,0.0288926930270129,0.5950715950715951,0.8333333333333334,0.0162431443895749
p0_r1,enzyme_to_reaction,3,MARTS_SEQ_fdf1423199f0ebb7,1,0,0.0,92,0.0108695652173913,0.9961602687835692,0.3333333333333333,0.471404492855072,0.0039110030047595,0.0920467616032736,0.4666666666666666,0.3333333333333333,0.0207103167721485
p0_r1,enzyme_to_reaction,10,MARTS_SEQ_fdf1423199f0ebb7,1,0,0.0,85,0.0117647058823529,0.9961602687835692,0.3333333333333333,0.8164966106414795,6.807930913055316e-05,0.2088533888088983,0.5445665445665445,0.8333333333333334,0.2014702784905653
p0_r2,reaction_to_enzyme,3,MARTS_RXN_029b92fe95def7ba,1,0,0.0,1074,0.0009310986964618,0.7647058963775635,1.0,0.0,0.0264627188444137,0.6426226478193466,0.5,0.7777777777777778,0.1016377368320384
p0_r2,reaction_to_enzyme,10,MARTS_RXN_029b92fe95def7ba,1,0,0.0,1074,0.0009310986964618,0.7647058963775635,1.0,0.0,0.0264627188444137,0.6426226478193466,0.2777777777777777,0.6666666666666666,0.0137576165562253
p0_r2,reaction_to_enzyme,20,MARTS_RXN_029b92fe95def7ba,1,0,0.0,1171,0.0008539709649871,0.7647058963775635,1.0,0.0,0.0305219106376171,0.6178828171344137,0.5223443223443223,0.8166666666666667,0.0676617576517053
p0_r2,reaction_to_enzyme,3,MARTS_RXN_1d852b407f95b2b1,1,0,0.0,70,0.0142857142857142,0.7699999809265137,0.6666666666666666,0.471404492855072,0.0186736825853586,0.2282791391970633,0.4666666666666666,0.7777777777777778,0.1299578683784253
p0_r2,reaction_to_enzyme,10,MARTS_RXN_1d852b407f95b2b1,1,0,0.0,70,0.0142857142857142,0.7699999809265137,0.6666666666666666,0.471404492855072,0.0186736825853586,0.2282791391970633,0.5445665445665445,0.7666666666666667,0.0543606218380584
p0_r2,reaction_to_enzyme,20,MARTS_RXN_1d852b407f95b2b1,1,0,0.0,65,0.0153846153846153,0.7699999809265137,0.6666666666666666,0.471404492855072,0.0319079607725143,0.0740615510413991,0.3343220862686936,0.6833333333333333,0.030998061373235
p0_r2,reaction_to_enzyme,3,MARTS_RXN_2e27139e482a6dfd,1,0,0.0,70,0.0142857142857142,0.7565217614173889,0.6666666666666666,1.4142135381698608,0.0473061725497245,0.3614802510602483,0.2,0.6666666666666666,0.2485481504526815
p0_r2,reaction_to_enzyme,10,MARTS_RXN_2e27139e482a6dfd,1,0,0.0,70,0.0142857142857142,0.7565217614173889,0.6666666666666666,1.4142135381698608,0.0473061725497245,0.3614802510602483,0.3373015873015872,0.7,0.0060500063686378
p0_r2,reaction_to_enzyme,20,MARTS_RXN_2e27139e482a6dfd,1,0,0.0,70,0.0142857142857142,0.7565217614173889,0.6666666666666666,0.9428090453147888,0.0344948507845401,0.3910223442654777,0.3702639421030225,0.7166666666666667,0.0067516637958301
p0_r2,reaction_to_enzyme,3,MARTS_RXN_8d2492a66172fc60,1,0,0.0,261,0.003831417624521,0.6888889074325562,0.3333333333333333,0.8164966106414795,0.0156926829367876,0.0383585134509758,0.6666666666666666,0.8888888888888888,0.1455961450284827
p0_r2,reaction_to_enzyme,10,MARTS_RXN_8d2492a66172fc60,1,0,0.0,261,0.003831417624521,0.6888889074325562,0.3333333333333333,0.8164966106414795,0.0156926829367876,0.0383585134509758,0.3127917833800187,0.7,0.025493931077149
p0_r2,reaction_to_enzyme,20,MARTS_RXN_8d2492a66172fc60,1,0,0.0,289,0.0034602076124567,0.6888889074325562,0.0,0.0,0.0393764339387416,0.0270793449888376,0.2768817204301075,0.6666666666666666,0.0138108955272245
p0_r2,reaction_to_enzyme,3,MARTS_RXN_a3e15b2ae79d1153,2,0,0.0,284,0.0035211267605633,0.7890909314155579,1.0,0.0,0.001486464170739,0.5510549929702219,0.5,0.7777777777777778,0.0277681400979819
p0_r2,reaction_to_enzyme,10,MARTS_RXN_a3e15b2ae79d1153,2,0,0.0,284,0.0035211267605633,0.7890909314155579,1.0,0.0,0.001486464170739,0.5510549929702219,0.1546840958605664,0.5,0.0448188364537403
p0_r2,reaction_to_enzyme,20,MARTS_RXN_a3e15b2ae79d1153,2,0,0.0,235,0.0042553191489361,0.7890909314155579,1.0,0.0,0.0175757277756929,0.6572919421563791,0.2263047936672225,0.5666666666666667,0.0157779487193028
p0_r2,reaction_to_enzyme,3,MARTS_RXN_bf12f5d59166518d,1,0,0.0,561,0.0017825311942959,0.92380952835083,0.6666666666666666,0.471404492855072,0.0342310592532157,0.0135563231353519,0.6666666666666666,0.8888888888888888,0.0071530424334572
