protein_id,layer
A0A0E9NDM8,base
A0A0F2TGC3,base
A0A0F4GUX4,base
A0A0F4JKQ6,base
A0A0F4YK83,base
A0A0F4YUX0,base
A0A0F4Z2N5,base
A0A0F5HNH9,base
A0A0F6P9C0,base
A0A0F6YGB5,base
A0A0F7CQ13,base
A0A0F7FSH4,base
A0A0F7G043,base
A0A0F7G352,base
A0A0F7GFI5,base
A0A0F7GG11,base
A0A0F7GGT4,base
A0A0F7RJ52,base
A0A0F7TN06,base
A0A0F7TN11,base
A0A0F7TN16,base
A0A0F7TN60,base
A0A0F7TN65,base
A0A0F7TN69,base
A0A0F7TQP2,base
A0A0F7TRU0,base
A0A0F7TSZ1,base
A0A0F7TSZ5,base
A0A0F7TWX5,base
A0A0F7TXA0,base
A0A0F7TXA1,base
A0A0F7TXA5,base
A0A0F7TXA8,base
A0A0F7TXH9,base
A0A0F7TZD6,base
A0A0F7TZE0,base
A0A0F7U1Z1,base
A0A0F7U1Z8,base
A0A0F7ZH66,base
A0A0F7ZM41,base
A0A0F7ZP15,base
A0A0F7ZU81,base
A0A0F8UC04,base
A0A0F8UEW7,base
A0A0F9XJT1,base
A0A0F9ZXE3,base
A0A0G2F821,base
A0A0G2FCR6,base
A0A0G2FJL6,base
A0A0G2H655,base
A0A0G2IFH4,base
A0A0G2JDV3,base
A0A0G2JZ79,base
A0A0G2QC33,base
A0A0G2RKY1,base
A0A0G3BIB7,base
A0A0G3FWY4,base
A0A0G4DBR5,base
A0A0G4IRM5,base
A0A0G4LXZ4,base
A0A0G4MXL4,base
A0A0G4P2W1,base
A0A0G4PH17,base
A0A0G4PPQ3,base
A0A0G7ZNT4,base
A0A0H2R7Z9,base
A0A0H2R9X3,base
A0A0H2R9X6,base
A0A0H2RWI6,base
A0A0H2RZ09,base
A0A0H2UQZ4,base
A0A0H2URG7,base
A0A0H2US87,base
A0A0H2USP8,base
A0A0H2UZX2,base
A0A0H2V630,base
A0A0H2V660,base
A0A0H2V760,base
A0A0H2V871,base
A0A0H2V8B5,base
A0A0H2VA12,base
A0A0H2VA68,base
A0A0H2VFI8,base
A0A0H2VKG8,base
A0A0H2WWB5,base
A0A0H2WZQ7,base
A0A0H2WZY4,base
A0A0H2XEA6,base
A0A0H2XHV5,base
A0A0H2Z7X0,base
A0A0H2ZF83,base
A0A0H2ZF87,base
A0A0H2ZFK2,base
A0A0H2ZGN6,base
A0A0H2ZH12,base
A0A0H2ZH52,base
A0A0H2ZHV3,base
A0A0H2ZIF3,base
A0A0H3AFM6,base
A0A0H3AL67,base
A0A0H3B1Q8,base
A0A0H3C7E9,base
A0A0H3C8X0,base
A0A0H3C8X7,base
A0A0H3GEM5,base
A0A0H3GM48,base
A0A0H3H456,base
A0A0H3JGH6,base
A0A0H3JN63,base
A0A0H3JQ59,base
A0A0H3JR16,base
A0A0H3JT80,base
A0A0H3JU78,base
A0A0H3JUG6,base
A0A0H3JUU7,base
A0A0H3JX98,base
A0A0H3JXA8,base
A0A0H3KB22,base
A0A0H3KB98,base
A0A0H3KNC4,base
A0A0H3KNE7,base
A0A0H3KP73,base
A0A0H3L116,base
A0A0H3L1B8,base
A0A0H3L952,base
A0A0H3LKL4,base
A0A0H3LQK8,base
A0A0H3LX82,base
A0A0H3M0L1,base
A0A0H3M776,base
A0A0H3MBJ2,base
A0A0H3PEK7,base
A0A0H4LJX8,base
A0A0H4TXY1,base
A0A0H4U9R8,base
A0A0H5B1M3,base
A0A0H5BB10,base
A0A0H5BB17,base
A0A0H5BMX5,base
A0A0H5BN57,base
A0A0H5BN61,base
A0A0I9QGZ7,base
A0A0I9RJ56,base
A0A0J1EEP6,base
A0A0J1FQ47,base
A0A0J5WTU0,base
A0A0J5ZXG5,base
A0A0J6G7P5,base
A0A0J6XHN2,base
A0A0J7AAC5,base
A0A0J8B9A5,base
A0A0J9UBD6,base
A0A0J9UVG7,base
A0A0K0JFP3,base
A0A0K0PVL3,base
A0A0K0PVM5,base
A0A0K0PVW1,base
A0A0K1EPK9,base
A0A0K1EPP1,base
A0A0K1SC59,base
A0A0K1TPY7,base
A0A0K1TQ05,base
A0A0K2H9D8,base
A0A0K2JKU1,base
A0A0K2JL82,base
A0A0K2JL91,base
A0A0K2JLU1,base
A0A0K3AUJ9,base
A0A0K6FQ41,base
A0A0K6FX52,base
A0A0K8P6T7,base
A0A0K8P8E7,base
A0A0K8PF36,base
A0A0K9PEL3,base
A0A0K9RL25,base
A0A0K9XDW1,base
A0A0K9XGA2,base
A0A0K9XLE7,base
A0A0K9XLW7,base
A0A0L0MZI6,base
A0A0L0NHD9,base
A0A0L1IWC8,base
A0A0L1IWL6,base
A0A0L1JCG0,base
A0A0L1JDR8,base
A0A0L1JF60,base
A0A0L6W6P6,base
A0A0L8M630,base
A0A0M0G4T5,base
A0A0M0JCZ9,base
A0A0M2GCB2,base
A0A0M3KKW3,base
A0A0M3KL36,base
A0A0M3KU39,base
A0A0M3KU45,base
A0A0M3Q1Q3,base
A0A0M4FCN7,base
A0A0M4KRN2,base
A0A0M7LBC1,base
A0A0M8MUG4,base
A0A0M8MUV4,base
A0A0M8MV11,base
A0A0M8MW83,base
A0A0M8MZA1,base
A0A0M8N2Y4,base
A0A0M8P8A7,base
A0A0M9AMV3,base
A0A0M9EWS2,base
A0A0M9EY59,base
A0A0M9VUG7,base
A0A0M9VUP1,base
A0A0N0DBK8,base
A0A0N0DCA4,base
A0A0N0E2J6,base
A0A0N0H2F9,base
A0A0N0RTK4,base
A0A0N0VJF1,base
A0A0N6W373,base
A0A0N7F297,base
A0A0N7YM95,base
A0A0N8PNS0,base
A0A0N8PPZ5,base
A0A0N9HKQ7,base
A0A0N9HMN6,base
A0A0N9HP11,base
A0A0N9HQ36,base
A0A0N9HT29,base
A0A0N9HTA1,base
A0A0N9HTU1,base
A0A0N9HWH6,base
A0A0N9I8A9,base
A0A0P0FGV9,base
A0A0P0UZP7,base
A0A0P0V5U9,base
A0A0P0VI36,base
A0A0P0VKW2,base
A0A0P0VY91,base
A0A0P0W8U0,base
A0A0P0W8Y6,base
A0A0P0W963,base
A0A0P0WIY3,base
A0A0P0WY03,base
A0A0P0XC15,base
A0A0P0XCC9,base
A0A0P0XII1,base
A0A0P0Y1B3,base
A0A0P0YAB9,base
A0A0P0ZBS7,base
A0A0P0ZEA9,base
A0A0P1DJE3,base
A0A0P4RDW4,base
A0A0P6JG37,base
A0A0P6Y9U9,base
A0A0P6YAS9,base
A0A0P6YR20,base
A0A0P6YXY3,base
A0A0P7B0B1,base
A0A0P7B5K9,base
A0A0P9JFY5,base
A0A0R0EGA8,base
A0A0R0EWB7,base
A0A0R0GTY2,base
A0A0R0GVB3,base
A0A0R0H3H1,base
A0A0R0H610,base
A0A0R0HHF7,base
A0A0R0I8P4,base
A0A0R0IHS3,base
A0A0R0JUM5,base
A0A0R3K2G2,base
A0A0R4IDP3,base
A0A0R4IF99,base
A0A0R4IVA4,base
A0A0R4IY06,base
A0A0R6Y3I5,base
A0A0S0FTT9,base
A0A0S1RVB0,base
A0A0S1TP26,base
A0A0S1TPC7,base
A0A0S1TQ04,base
A0A0S1X9S7,base
A0A0S2IHL2,base
A0A0S2II38,base
A0A0S2M6A7,base
A0A0S2PM82,base
A0A0S2PM92,base
A0A0S2PMA8,base
A0A0S2TG11,base
A0A0S2UWA5,base
A0A0S2UWC9,base
A0A0S2UWT1,base
A0A0S3QTC6,base
A0A0S3QTD0,base
A0A0S3QZI9,base
A0A0S3SHV1,base
A0A0S3SI28,base
A0A0S3SI43,base
A0A0S4NM89,base
A0A0S4QKX2,base
A0A0S4QLG0,base
A0A0S7BM52,base
A0A0T6LQT5,base
A0A0T6LTM7,base
A0A0T7AQA7,base
A0A0U1LL34,base
A0A0U1LVA1,base
A0A0U1M9Z6,base
A0A0U1RGY0,base
A0A0U1RQE8,base
A0A0U1WZ18,base
A0A0U1XRI2,base
A0A0U2JT80,base
A0A0U2U8U5,base
A0A0U2UYC4,base
A0A0U3AL34,base
A0A0U3BRC5,base
A0A0U3C228,base
A0A0U4IMN4,base
A0A0U4KG90,base
A0A0U4ZPJ7,base
A0A0U4ZPL6,base
A0A0U5B0G7,base
A0A0U5CJM3,base
