row,reaction_id
630,RHEA:12272
631,RHEA:12276
632,RHEA:12280
633,RHEA:12284
634,RHEA:12288
635,RHEA:12292
636,RHEA:12300
637,RHEA:12304
638,RHEA:12308
639,RHEA:12312
640,RHEA:12316
641,RHEA:12332
642,RHEA:12340
643,RHEA:12344
644,RHEA:12348
645,RHEA:12356
646,RHEA:12360
647,RHEA:12364
648,RHEA:12372
649,RHEA:12376
650,RHEA:12388
651,RHEA:12400
652,RHEA:12404
653,RHEA:12408
654,RHEA:12420
655,RHEA:12424
656,RHEA:12428
657,RHEA:12432
658,RHEA:12440
659,RHEA:12452
660,RHEA:12456
661,RHEA:12460
662,RHEA:12464
663,RHEA:12472
664,RHEA:12476
665,RHEA:12484
666,RHEA:12488
667,RHEA:12492
668,RHEA:12500
669,RHEA:12504
670,RHEA:12508
671,RHEA:12512
672,RHEA:12516
673,RHEA:12524
674,RHEA:12532
675,RHEA:12536
676,RHEA:12540
677,RHEA:12544
678,RHEA:12548
679,RHEA:12552
680,RHEA:12556
681,RHEA:12560
682,RHEA:12568
683,RHEA:12576
684,RHEA:12580
685,RHEA:12588
686,RHEA:12593
687,RHEA:12597
688,RHEA:12601
689,RHEA:12605
690,RHEA:12609
691,RHEA:12617
692,RHEA:12621
693,RHEA:12625
694,RHEA:12629
695,RHEA:12633
696,RHEA:12637
697,RHEA:12641
698,RHEA:12645
699,RHEA:12649
700,RHEA:12653
701,RHEA:12657
702,RHEA:12661
703,RHEA:12665
704,RHEA:12669
705,RHEA:12673
706,RHEA:12685
707,RHEA:12689
708,RHEA:12693
709,RHEA:12697
710,RHEA:12701
711,RHEA:12705
712,RHEA:12709
713,RHEA:12717
714,RHEA:12721
715,RHEA:12729
716,RHEA:12733
717,RHEA:12737
718,RHEA:12745
719,RHEA:12749
720,RHEA:12753
721,RHEA:12761
722,RHEA:12765
723,RHEA:12769
724,RHEA:12773
725,RHEA:12793
726,RHEA:12801
727,RHEA:12805
728,RHEA:12813
729,RHEA:12821
730,RHEA:12825
731,RHEA:12829
732,RHEA:12833
733,RHEA:12837
734,RHEA:12841
735,RHEA:12849
736,RHEA:12853
737,RHEA:12857
738,RHEA:12861
739,RHEA:12869
740,RHEA:12873
741,RHEA:12877
742,RHEA:12881
743,RHEA:12889
744,RHEA:12893
745,RHEA:12897
746,RHEA:12901
747,RHEA:12909
748,RHEA:12917
749,RHEA:12921
750,RHEA:12929
751,RHEA:12933
752,RHEA:12937
753,RHEA:12941
754,RHEA:12945
755,RHEA:12949
756,RHEA:12957
757,RHEA:12961
758,RHEA:12965
759,RHEA:12969
760,RHEA:12973
761,RHEA:12977
762,RHEA:12981
763,RHEA:12985
764,RHEA:12993
765,RHEA:13009
766,RHEA:13013
767,RHEA:13017
768,RHEA:13021
769,RHEA:13025
770,RHEA:13029
771,RHEA:13033
772,RHEA:13041
773,RHEA:13049
774,RHEA:13057
775,RHEA:13065
776,RHEA:13069
777,RHEA:13073
778,RHEA:13081
779,RHEA:13085
780,RHEA:13089
781,RHEA:13093
782,RHEA:13097
783,RHEA:13101
784,RHEA:13117
785,RHEA:13121
786,RHEA:13141
787,RHEA:13145
788,RHEA:13149
789,RHEA:13161
790,RHEA:13169
791,RHEA:13173
792,RHEA:13177
793,RHEA:13181
794,RHEA:13185
795,RHEA:13189
796,RHEA:13193
797,RHEA:13197
798,RHEA:13201
799,RHEA:13205
800,RHEA:13213
801,RHEA:13217
802,RHEA:13233
803,RHEA:13237
804,RHEA:13241
805,RHEA:13245
806,RHEA:13249
807,RHEA:13253
808,RHEA:13265
809,RHEA:13269
810,RHEA:13281
811,RHEA:13285
812,RHEA:13305
813,RHEA:13309
814,RHEA:13313
815,RHEA:13317
816,RHEA:13325
817,RHEA:13329
818,RHEA:13333
819,RHEA:13345
820,RHEA:13349
821,RHEA:13361
822,RHEA:13369
823,RHEA:13381
824,RHEA:13389
825,RHEA:13405
826,RHEA:13409
827,RHEA:13421
828,RHEA:13425
829,RHEA:13429
830,RHEA:13433
831,RHEA:13437
832,RHEA:13441
833,RHEA:13445
834,RHEA:13449
835,RHEA:13453
836,RHEA:13457
837,RHEA:13461
838,RHEA:13473
839,RHEA:13481
840,RHEA:13489
841,RHEA:13493
842,RHEA:13497
843,RHEA:13501
844,RHEA:13509
845,RHEA:13513
846,RHEA:13517
847,RHEA:13521
848,RHEA:13525
849,RHEA:13537
850,RHEA:13541
851,RHEA:13545
852,RHEA:13549
853,RHEA:13553
854,RHEA:13557
855,RHEA:13561
856,RHEA:13581
857,RHEA:13585
858,RHEA:13589
859,RHEA:13601
860,RHEA:13609
861,RHEA:13613
862,RHEA:13617
863,RHEA:13625
864,RHEA:13629
865,RHEA:13633
866,RHEA:13637
867,RHEA:13641
868,RHEA:13665
869,RHEA:13669
870,RHEA:13673
871,RHEA:13677
872,RHEA:13681
873,RHEA:13685
874,RHEA:13697
875,RHEA:13701
876,RHEA:13717
877,RHEA:13725
878,RHEA:13729
879,RHEA:13733
880,RHEA:13737
881,RHEA:13741
882,RHEA:13745
883,RHEA:13749
884,RHEA:13753
885,RHEA:13757
886,RHEA:13761
887,RHEA:13769
888,RHEA:13773
889,RHEA:13781
890,RHEA:13785
891,RHEA:13793
892,RHEA:13801
893,RHEA:13805
894,RHEA:13809
895,RHEA:13813
896,RHEA:13817
897,RHEA:13821
898,RHEA:13825
899,RHEA:13829
900,RHEA:13833
901,RHEA:13849
902,RHEA:13861
903,RHEA:13869
904,RHEA:13873
905,RHEA:13877
906,RHEA:13881
907,RHEA:13889
908,RHEA:13893
909,RHEA:13897
910,RHEA:13905
911,RHEA:13913
912,RHEA:13929
913,RHEA:13933
914,RHEA:13941
915,RHEA:13945
916,RHEA:13949
917,RHEA:13953
918,RHEA:13957
919,RHEA:13961
920,RHEA:13965
921,RHEA:13969
922,RHEA:13973
923,RHEA:13977
924,RHEA:13985
925,RHEA:13989
926,RHEA:13993
927,RHEA:14001
928,RHEA:14005
929,RHEA:14009
930,RHEA:14013
931,RHEA:14017
932,RHEA:14021
933,RHEA:14025
934,RHEA:14029
935,RHEA:14033
936,RHEA:14037
937,RHEA:14041
938,RHEA:14045
939,RHEA:14049
940,RHEA:14053
941,RHEA:14057
942,RHEA:14065
943,RHEA:14069
944,RHEA:14077
945,RHEA:14081
946,RHEA:14085
947,RHEA:14089
948,RHEA:14093
949,RHEA:14101
950,RHEA:14105
951,RHEA:14109
952,RHEA:14113
953,RHEA:14129
954,RHEA:14133
955,RHEA:14141
956,RHEA:14145
957,RHEA:14157
958,RHEA:14161
959,RHEA:14165
960,RHEA:14173
961,RHEA:14177
962,RHEA:14181
963,RHEA:14185
964,RHEA:14189
965,RHEA:14201
966,RHEA:14205
967,RHEA:14213
968,RHEA:14217
969,RHEA:14245
970,RHEA:14253
971,RHEA:14257
972,RHEA:14265
973,RHEA:14269
974,RHEA:14277
975,RHEA:14293
976,RHEA:14297
977,RHEA:14301
978,RHEA:14305
979,RHEA:14317
980,RHEA:14321
981,RHEA:14329
982,RHEA:14333
983,RHEA:14341
984,RHEA:14345
985,RHEA:14349
986,RHEA:14353
987,RHEA:14357
988,RHEA:14369
989,RHEA:14373
990,RHEA:14381
991,RHEA:14389
992,RHEA:14393
993,RHEA:14397
994,RHEA:14401
995,RHEA:14405
996,RHEA:14409
997,RHEA:14413
998,RHEA:14425
999,RHEA:14429
1000,RHEA:14433
1001,RHEA:14437
1002,RHEA:14441
1003,RHEA:14445
1004,RHEA:14465
1005,RHEA:14469
1006,RHEA:14473
1007,RHEA:14477
1008,RHEA:14481
1009,RHEA:14485
1010,RHEA:14489
1011,RHEA:14493
1012,RHEA:14501
1013,RHEA:14509
1014,RHEA:14513
1015,RHEA:14517
1016,RHEA:14521
1017,RHEA:14525
1018,RHEA:14533
1019,RHEA:14541
1020,RHEA:14545
1021,RHEA:14549
1022,RHEA:14557
