query_id,ranking_objective,canonical_slots,requested_uniprot_rescue_slots,uniprot_rescue_slots,architecture_contract_status,allowed_candidate_architectures,known_associations_masked,eligible_uniprot_candidates,selected_uniprot_candidates,selected_uniprot_evidence_tiers,maximum_selected_hub_fraction,strict_double_cold_status,strict_double_cold_hit_retention_fraction,strict_double_cold_quota_hit_probability,strict_double_cold_baseline_hits,strict_double_cold_quota_hits
MARTS_EXT_RXN_1d852b407f95,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_1d852b407f95,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,D_named_predicted,0.175,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_1da1a2f90d9e,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_1da1a2f90d9e,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,B_experimental_or_transcript_named,0.0333333333333333,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_1f7cef5e91c2,top3,3,0,0,reference_supported,classII_cyclase_single_domain;plant_tps_full,2,1431,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_1f7cef5e91c2,top10,9,1,1,reference_supported,classII_cyclase_single_domain;plant_tps_full,2,1431,1,D_named_predicted,0.0375,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_219616d40b4a,top3,3,0,0,reference_supported,osc_full,1,303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_219616d40b4a,top10,9,1,1,reference_supported,osc_full,1,303,1,C_homology_named,0.0291666666666666,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_2250a8a7fe50,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_2250a8a7fe50,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,B_experimental_or_transcript_named,0.0333333333333333,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_22bda90ee992,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_22bda90ee992,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,B_experimental_or_transcript_named,0.0166666666666666,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_23432a8b720a,top3,3,0,0,unsupported_or_unresolved_reference_family,,1,0,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_23432a8b720a,top10,10,1,0,unsupported_or_unresolved_reference_family,,1,0,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.1265822784810126,30,30
