reaction_id,cluster_id
MARTS_RXN_76499a11d46582b6,C20_GGPP_like::MARTS_RXN_00588b0f0a754835
MARTS_RXN_9557d9c04ed3543b,C20_GGPP_like::MARTS_RXN_00588b0f0a754835
MARTS_RXN_9e53a73973061d2f,C20_GGPP_like::MARTS_RXN_00588b0f0a754835
MARTS_RXN_e9ed9dc21c00f52b,C20_GGPP_like::MARTS_RXN_00588b0f0a754835
MARTS_RXN_00588b0f0a754835,C20_GGPP_like::MARTS_RXN_00588b0f0a754835
MARTS_RXN_ffdf938f67fac694,C20_GGPP_like::MARTS_RXN_00588b0f0a754835
MARTS_RXN_f5414ceb0f1f5ab4,C20_GGPP_like::MARTS_RXN_a5374cc39ade96ae
MARTS_RXN_a5374cc39ade96ae,C20_GGPP_like::MARTS_RXN_a5374cc39ade96ae
MARTS_RXN_fa03c166bbd74319,C20_GGPP_like::MARTS_RXN_fa03c166bbd74319
MARTS_RXN_4fba5e08211844e3,C20_GGPP_like::MARTS_RXN_4fba5e08211844e3
MARTS_RXN_9239c973f487b019,C20_GGPP_like::MARTS_RXN_9239c973f487b019
MARTS_RXN_932a9e24c66214c5,C20_GGPP_like::MARTS_RXN_1d852b407f95b2b1
MARTS_RXN_1d852b407f95b2b1,C20_GGPP_like::MARTS_RXN_1d852b407f95b2b1
MARTS_RXN_6d6aa67d85ada1bf,C20_GGPP_like::MARTS_RXN_6d6aa67d85ada1bf
MARTS_RXN_9bfd169ae97ddf61,C20_GGPP_like::MARTS_RXN_618cb8d5f98f8d39
MARTS_RXN_a3395ba9b8c61185,C20_GGPP_like::MARTS_RXN_618cb8d5f98f8d39
MARTS_RXN_b3c865336ac365fa,C20_GGPP_like::MARTS_RXN_618cb8d5f98f8d39
MARTS_RXN_ad8e38949c9e302b,C20_GGPP_like::MARTS_RXN_1d852b407f95b2b1
MARTS_RXN_22bda90ee992550a,C20_GGPP_like::MARTS_RXN_22bda90ee992550a
MARTS_RXN_6c1cbb35db925c2f,C20_GGPP_like::MARTS_RXN_2e59d1c7b929f7af
MARTS_RXN_ff0c2ddf47874579,C20_GGPP_like::MARTS_RXN_2e59d1c7b929f7af
MARTS_RXN_a330ce4c40995688,C20_GGPP_like::MARTS_RXN_a330ce4c40995688
MARTS_RXN_2e59d1c7b929f7af,C20_GGPP_like::MARTS_RXN_2e59d1c7b929f7af
MARTS_RXN_6b2dcf26c8922a57,C20_GGPP_like::MARTS_RXN_6b2dcf26c8922a57
MARTS_RXN_9aca0b07537d223f,C20_GGPP_like::MARTS_RXN_6b2dcf26c8922a57
MARTS_RXN_4356ef28995dc307,C20_GGPP_like::MARTS_RXN_4356ef28995dc307
MARTS_RXN_31029ac2a5b7a0fa,C20_GGPP_like::MARTS_RXN_31029ac2a5b7a0fa
MARTS_RXN_e266d387018a41d7,C20_GGPP_like::MARTS_RXN_e266d387018a41d7
MARTS_RXN_9d212bb942092d78,C20_GGPP_like::MARTS_RXN_9d212bb942092d78
